epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,152576,0.41071,0.38615,0.00626,0.87234,0.87186,0.88351,0.81309,0.42374,0.32522,0.00726,0.00453617,0.00151206,0.00453617,0.00151206,0.00453617,0.00151206,0.00453617,0.00151206
88,154388,0.4066,0.37541,0.00621,0.87249,0.86666,0.87998,0.80797,0.42318,0.32884,0.00726,0.00424008,0.00141336,0.00424008,0.00141336,0.00424008,0.00141336,0.00424008,0.00141336
89,156015,0.39549,0.36084,0.00603,0.95788,0.8676,0.88132,0.80994,0.42272,0.33174,0.00726,0.00394399,0.00131466,0.00394399,0.00131466,0.00394399,0.00131466,0.00394399,0.00131466
90,157973,0.39784,0.3731,0.00607,0.954,0.86372,0.87869,0.81035,0.42047,0.34595,0.00722,0.0036479,0.00121597,0.0036479,0.00121597,0.0036479,0.00121597,0.0036479,0.00121597
91,159562,0.3144,0.20532,0.00684,0.86122,0.87382,0.88184,0.81517,0.41966,0.33325,0.00719,0.00335181,0.00111727,0.00335181,0.00111727,0.00335181,0.00111727,0.00335181,0.00111727
92,161772,0.31063,0.19801,0.00676,0.8632,0.87674,0.88172,0.81293,0.41926,0.33064,0.00715,0.00305572,0.00101857,0.00305572,0.00101857,0.00305572,0.00101857,0.00305572,0.00101857
93,163535,0.30587,0.18655,0.00658,0.85982,0.86908,0.87681,0.81129,0.41885,0.33098,0.00714,0.00275963,0.000919876,0.00275963,0.000919876,0.00275963,0.000919876,0.00275963,0.000919876
94,165038,0.29967,0.18534,0.00643,0.86132,0.8748,0.88295,0.8134,0.41977,0.33347,0.00714,0.00246354,0.000821179,0.00246354,0.000821179,0.00246354,0.000821179,0.00246354,0.000821179
95,166286,0.29248,0.17479,0.0062,0.86675,0.87266,0.88044,0.81215,0.41997,0.32715,0.00715,0.00216745,0.000722482,0.00216745,0.000722482,0.00216745,0.000722482,0.00216745,0.000722482
96,168150,0.28854,0.1823,0.00611,0.86354,0.87273,0.88091,0.81366,0.42104,0.33278,0.00719,0.00187136,0.000623785,0.00187136,0.000623785,0.00187136,0.000623785,0.00187136,0.000623785
97,169734,0.28364,0.17338,0.00599,0.86493,0.86505,0.88439,0.81377,0.4204,0.33701,0.00717,0.00157526,0.000525088,0.00157526,0.000525088,0.00157526,0.000525088,0.00157526,0.000525088
98,171241,0.28083,0.16711,0.006,0.86489,0.87682,0.88384,0.81476,0.42108,0.3343,0.00718,0.00127917,0.000426391,0.00127917,0.000426391,0.00127917,0.000426391,0.00127917,0.000426391
99,172769,0.27531,0.16348,0.00586,0.88124,0.85892,0.88522,0.81688,0.42052,0.34119,0.00717,0.000983082,0.000327694,0.000983082,0.000327694,0.000983082,0.000327694,0.000983082,0.000327694
100,174774,0.27074,0.16037,0.0057,0.86447,0.8746,0.88299,0.81552,0.42016,0.34279,0.00718,0.000686991,0.000228997,0.000686991,0.000228997,0.000686991,0.000228997,0.000686991,0.000228997
